,date,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
98,2021-03-09,194803899.0,70744145.0,6930464.0,133.25,85.87,47.38,23626.0
99,2021-03-10,200955743.0,73280153.0,8744913.0,133.25,85.87,47.38,17987.0
100,2021-03-11,206179290.0,75791899.0,8229017.0,135.02,85.99,49.02,17690.0
101,2021-03-12,213019169.0,78812100.0,9709562.0,136.94,87.89,49.05,15227.0
102,2021-03-13,220598362.0,82062677.0,10061992.0,136.94,87.89,49.05,14780.0
103,2021-03-14,223780138.0,83136280.0,16812270.0,140.13,87.95,52.18,14841.0
104,2021-03-15,230664842.0,86075462.0,9830201.0,143.35,88.06,55.29,17186.0
105,2021-03-16,236065173.0,88685936.0,8297039.0,146.41,88.3,58.11,18788.0
106,2021-03-17,242691024.0,92461445.0,10399710.0,148.35,88.55,59.8,21578.0
107,2021-03-18,249495646.0,95313780.0,9811066.0,151.86,88.79,63.07,24072.0
108,2021-03-19,258026578.0,98584244.0,12292811.0,155.33,89.16,66.17,26268.0
109,2021-03-20,265614348.0,100816218.0,19600152.0,157.82,89.4,68.42,29830.0
110,2021-03-21,269667067.0,102520851.0,6037648.0,157.82,89.4,68.42,25289.0
111,2021-03-22,277261218.0,105168389.0,15934491.0,159.87,89.55,70.32,23597.0
112,2021-03-23,284657075.0,107778529.0,12761334.0,162.02,89.73,72.29,22402.0
113,2021-03-24,292531972.0,110675861.0,13858005.0,165.85,91.04,74.82,24992.0
114,2021-03-25,300032445.0,113671859.0,16228027.0,167.81,91.42,76.39,27178.0
115,2021-03-26,308829547.0,117032063.0,18391756.0,171.1,91.85,79.26,24708.0
116,2021-03-27,315914493.0,119532037.0,14964901.0,174.4,92.29,82.11,111389.0
117,2021-03-28,320452949.0,121696721.0,11224636.0,114.94,60.36,54.58,118759.0
118,2021-03-29,327104475.0,125632227.0,15051496.0,175.27,92.3,82.97,118671.0
119,2021-03-30,333172320.0,128225259.0,13005066.0,177.19,92.62,84.57,110456.0
120,2021-03-31,343355173.0,131941271.0,18918895.0,178.88,94.21,84.67,102322.0
121,2021-04-01,352290278.0,136012311.0,20054499.0,180.78,95.85,84.93,93924.0
122,2021-04-02,362560414.0,139747422.0,21397972.0,116.45,60.75,55.7,83979.0
123,2021-04-03,370340327.0,142927823.0,13835411.0,116.5,60.76,55.74,69206.0
124,2021-04-04,377353612.0,145427828.0,12794262.0,116.87,60.87,56.0,52495.0
125,2021-04-05,385195258.0,148005290.0,13362545.0,117.23,60.99,56.24,51105.0
126,2021-04-06,394345992.0,151193682.0,15812311.0,117.52,65.6,56.43,51105.0
127,2021-04-07,404656699.0,155475358.0,17854601.0,185.04,97.64,87.4,51105.0
128,2021-04-08,416945866.0,160319000.0,23085289.0,118.1,61.3,56.8,44215.0
129,2021-04-09,427412883.0,164959047.0,20892511.0,187.04,99.31,87.74,37611.0
130,2021-04-10,437756513.0,170007338.0,18417159.0,188.99,100.85,88.13,30721.0
131,2021-04-11,445415068.0,173244916.0,13593515.0,190.91,102.49,88.42,23830.0
132,2021-04-12,454953323.0,177273639.0,17995871.0,192.73,104.13,88.59,18062.0
133,2021-04-13,465778762.0,181722411.0,18981640.0,196.52,106.33,90.18,19919.0
134,2021-04-14,476044424.0,186424428.0,18094986.0,126.53,75.57,57.34,20331.0
135,2021-04-15,484877315.0,191311250.0,18102372.0,196.59,106.35,90.24,20932.0
136,2021-04-16,493229927.0,196044605.0,17082503.0,119.12,61.98,57.42,21036.0
137,2021-04-17,500060072.0,200036832.0,13598312.0,119.15,62.01,57.44,20719.0
138,2021-04-18,507130178.0,205158776.0,14700538.0,198.01,106.56,91.45,19902.0
139,2021-04-19,514789943.0,209362485.0,15094545.0,119.47,67.55,57.61,20212.0
140,2021-04-20,521391110.0,214199351.0,12302485.0,119.61,62.08,57.68,19791.0
141,2021-04-21,529318817.0,218723665.0,18079098.0,199.95,106.59,93.36,19506.0
142,2021-04-22,537886188.0,224924746.0,21918334.0,201.75,106.77,94.98,19860.0
143,2021-04-23,545473935.0,230547887.0,18388190.0,123.21,67.62,57.89,20063.0
144,2021-04-24,550184409.0,234618544.0,13152983.0,120.01,62.17,57.9,20744.0
145,2021-04-25,559594055.0,240260504.0,19970256.0,120.14,63.51,57.98,23350.0
146,2021-04-26,566457497.0,245202350.0,16564152.0,204.07,109.0,95.06,20315.0
147,2021-04-27,573799532.0,250467415.0,19451287.0,206.38,111.24,95.14,22060.0
