,Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
214,2020-08-04,52050,4658992,803,159402
215,2020-08-05,52509,4703256,857,160199
216,2020-08-06,56282,4755135,1154,161261
217,2020-08-07,62538,4807300,1437,162531
218,2020-08-08,61537,4862329,1237,163704
219,2020-08-09,64399,4921432,1266,164970
220,2020-08-10,62064,4975313,1027,165997
221,2020-08-11,53601,5021977,871,166661
222,2020-08-12,60963,5062633,834,167435
223,2020-08-13,66999,5118726,1274,168637
224,2020-08-14,64553,5174837,1302,169939
225,2020-08-15,65002,5227823,1262,171077
226,2020-08-16,63490,5282130,1114,172191
227,2020-08-17,57981,5336203,975,173166
228,2020-08-18,55079,5377178,876,173970
229,2020-08-19,64531,5415253,1092,174545
230,2020-08-20,69652,5456001,1352,175665
231,2020-08-21,68898,5501067,1224,176889
232,2020-08-22,69878,5546467,1204,177861
233,2020-08-23,69239,5591700,1054,178851
234,2020-08-24,61408,5635601,892,179740
235,2020-08-25,60975,5672274,848,180393
236,2020-08-26,67151,5707806,1059,180942
237,2020-08-27,75760,5747107,1271,181989
238,2020-08-28,77266,5792800,1085,183012
239,2020-08-29,76472,5839820,1021,183992
240,2020-08-30,78761,5884878,948,184896
241,2020-08-31,78512,5925998,971,185810
242,2020-09-01,69921,5961616,819,186292
243,2020-09-02,78357,5995193,1045,186802
244,2020-09-03,83883,6039443,1215,187817
245,2020-09-04,83341,6081588,1184,188685
246,2020-09-05,86432,6127708,1089,189661
247,2020-09-06,90632,6177628,1065,190565
248,2020-09-07,90802,6219159,3800,191343
249,2020-09-08,75809,6252317,1610,191854
250,2020-09-09,89706,6277830,1115,192157
251,2020-09-10,95735,6304102,1172,192622
252,2020-09-11,96551,6338485,1209,193683
253,2020-09-12,97570,6376692,1201,194672
254,2020-09-13,94372,6421512,1114,195571
255,2020-09-14,92071,6460988,1136,196302
256,2020-09-15,83809,6492536,1054,196849
257,2020-09-16,90123,6527347,1290,197286
258,2020-09-17,97894,6563132,1132,198147
259,2020-09-18,96424,6605426,1174,199314
260,2020-09-19,93337,6649662,1247,200098
261,2020-09-20,92605,6696861,1133,200964
262,2020-09-21,86961,6738358,1130,201563
263,2020-09-22,75083,6772248,1053,201909
264,2020-09-23,83347,6812398,1085,202411
265,2020-09-24,86508,6861351,1129,203172
266,2020-09-25,86052,6902186,1141,204246
267,2020-09-26,85362,6946237,1089,205095
268,2020-09-27,88600,6996109,1124,205910
269,2020-09-28,82170,7038813,1039,206684
270,2020-09-29,70589,7073682,776,207013
271,2020-09-30,80472,7110377,1179,207353
272,2020-10-01,86821,7149819,1181,208253
273,2020-10-02,81484,7196085,1095,209035
274,2020-10-03,79476,7243013,3351,209868
275,2020-10-04,75829,7293335,940,210696
276,2020-10-05,74442,7340054,903,211359
277,2020-10-06,61267,7376050,884,211810
278,2020-10-07,72049,7418584,986,212287
279,2020-10-08,78524,7459937,971,212928
280,2020-10-09,70496,7514577,964,213731
281,2020-10-10,73272,7570029,3013,214648
282,2020-10-11,74383,7627925,918,215547
283,2020-10-12,66732,7678746,816,216131
284,2020-10-13,55342,7726268,706,216711
285,2020-10-14,63509,7774316,730,217165
286,2020-10-15,67708,7824429,766,217931
287,2020-10-16,63371,7881412,895,218728
288,2020-10-17,63546,7944958,843,219571
289,2020-10-18,67772,8012730,1033,220547
290,2020-10-19,55722,8066314,629,221176
291,2020-10-20,48425,8114739,587,221750
292,2020-10-21,59697,8174436,717,222384
293,2020-10-22,62309,8236745,847,223231
294,2020-10-23,65402,8302147,1042,224273
295,2020-10-24,75563,8377710,988,225261
296,2020-10-25,82223,8459933,961,226222
297,2020-10-26,78289,8538222,884,227106
298,2020-10-27,62409,8600631,488,227542
299,2020-10-28,68534,8669165,616,228158
300,2020-10-29,75619,8744784,938,229096
301,2020-10-30,83863,8828647,1063,230159
302,2020-10-31,90856,8919503,1094,231253
303,2020-11-01,99242,9018745,1042,232295
304,2020-11-02,87919,9106664,824,233119
305,2020-11-03,137913,9244577,512,233631
306,2020-11-04,91368,9335945,854,234295
307,2020-11-05,96301,9432246,1136,235431
308,2020-11-06,110818,9543064,1172,236603
309,2020-11-07,122899,9665963,1159,237762
310,2020-11-08,133346,9799309,1221,238983
311,2020-11-09,129150,9928459,1086,240069
312,2020-11-10,105550,10034009,615,240684
313,2020-11-11,128515,10162524,1220,241550
314,2020-11-12,144244,10306768,1874,243424
315,2020-11-13,151353,10458121,1000,244424
316,2020-11-14,160338,10618459,1707,246131
317,2020-11-15,179536,10797995,1313,247444
318,2020-11-16,161174,10959169,1322,248766
319,2020-11-17,139878,11099047,798,249564
320,2020-11-18,158847,11257894,1219,250507
321,2020-11-19,165487,11423381,1612,252119
322,2020-11-20,168357,11591738,1789,253908
323,2020-11-21,188087,11779825,1947,255855
324,2020-11-22,196984,11976809,1888,257743
325,2020-11-23,176061,12152870,1477,259220
326,2020-11-24,149442,12302312,1061,260281
327,2020-11-25,164455,12466767,1258,261539
